Ticker,Value
GIS,0.002008032
GM,0.002008032
GPC,0.002008032
GILD,0.002008032
GPN,0.002008032
GL,0.002008032
GS,0.002008032
HAL,0.002008032
HIG,0.002008032
HAS,0.002008032
HCA,0.002008032
PEAK,0.002008032
HSIC,0.002008032
HSY,0.002008032
HES,0.002008032
HPE,0.002008032
HLT,0.002008032
HOLX,0.002008032
HD,0.002008032
HON,0.002008032
HRL,0.002008032
HST,0.002008032
HWM,0.002008032
HPQ,0.002008032
HUBB,0.002008032
HUM,0.002008032
HBAN,0.002008032
HII,0.002008032
IBM,0.002008032
IEX,0.002008032
IDXX,0.002008032
ITW,0.002008032
ILMN,0.002008032
INCY,0.002008032
IR,0.002008032
PODD,0.002008032
INTC,0.002008032
ICE,0.002008032
IFF,0.002008032
IP,0.002008032
IPG,0.002008032
INTU,0.002008032
ISRG,0.002008032
IVZ,0.002008032
INVH,0.002008032
IQV,0.002008032
IRM,0.002008032
JBHT,0.002008032
JBL,0.002008032
JKHY,0.002008032
J,0.002008032
JNJ,0.002008032
JCI,0.002008032
JPM,0.002008032
JNPR,0.002008032
K,0.002008032
KVUE,0.002008032
KDP,0.002008032
KEY,0.002008032
KEYS,0.002008032
KMB,0.002008032
KIM,0.002008032
KMI,0.002008032
